compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	molecularFormula	molecularWeight	afc_id	original_smiles	inchikey	Canonical_Smiles	contains_sugars	contains_ring_sugars	contains_linear_sugars	number_of_carbons	number_of_nitrogens	number_of_oxygens	number_of_rings	max_number_of_rings	min_number_of_rings	sugar_free_heavy_atom_number	sugar_free_total_atom_number	total_atom_number	bond_count	murko_framework	ertlFunctionalFragments	ertlFunctionalFragmentsPseudoSmiles	alogp	alogp2	amralogp	apol	bpol	eccentricConnectivityIndexDescriptor	fmfDescriptor	fsp3	fragmentComplexityDescriptor	numberSpiroAtoms	lipinskiRuleOf5Failures	xlogp	zagrebIndex	topoPSA	tpsaEfficiency
S-adenosyl-L-homocysteine		75899-14-8	C00021	HMDB0000939	439155	16680	FDB022327		C14H20N6O5S	384.4124465046485	AFC000636	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N	ZJUKTBDSGOFHSH-UHFFFAOYSA-N	C([H])([H])(C([H])([H])SC([H])([H])C1([H])C([H])(C([H])(C([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])O[H])C([H])(C(=O)O[H])N([H])[H]	0	false	false	14	6	5	null	4	3	null	null	null	28	n1cnc2c(ncn2C3OCCC3)c1	{*O*=1, *C(=O)O[H]=1, [H]N([H])[c]=1, *n(*)*=4, [H]O[C]=2, [H]N([H])[C]=1, *S*=1}	{ROR=1, RN*(R)R=4, RC(=O)O[H]=1, [H]N([H])[C*]=1, [H]O[C]=2, [H]N([H])[C]=1, RSR=1}	-2.6907999999999994	7.240404639999997	92.62980000000002	51.48585999999998	31.63814	602	0.30434782608695654	0.5714285714285714	1654.12	0	1	-4.215	136.0	204.65	0.5327740121852953
sn-glycerol-3-phosphate		17989-41-2	C00093	HMDB0000126	439162	15978	FDB021800		C3H9O6P	172.0738656702124	AFC000637	C(C(COP(=O)(O)O)O)O	AWUCVROLDVIAJX-UHFFFAOYSA-N	C([H])([H])(C([H])(C([H])([H])OP(=O)(O[H])O[H])O[H])O[H]	0	false	false	3	0	6	null	0	0	null	null	null	9	null	{[H]O[C]=2, *OP(=O)(O[H])O[H]=1}	{ROP(=O)(O[H])O[H]=1, [H]O[C]=2}	-2.2184	4.921298559999999	31.6579	19.72313699999999	20.192863000000003	85	0.0	1.0	234.07	0	0	-3.1090000000000004	42.0	117.03000000000002	0.6803528861661013
D-glyceraldehyde 3-phosphate		142-10-9	C00118	HMDB0001112	439168	29052	FDB001619		C3H7O6P	170.05798416256084	AFC000638	C(C(C=O)O)OP(=O)(O)O	LXJXRIRHZLFYRP-UHFFFAOYSA-N	C([H])(=O)C([H])(C([H])([H])OP(=O)(O[H])O[H])O[H]	0	false	false	3	0	6	null	0	0	null	null	null	9	null	{*[C]=O=1, [H]O[C]=1, *OP(=O)(O[H])O[H]=1}	{R[C]=O=1, ROP(=O)(O[H])O[H]=1, [H]O[C]=1}	-1.9621000000000004	3.8498364100000018	30.675	18.389550999999994	18.964449000000002	85	0.0	0.6666666666666666	166.07	0	0	-2.5380000000000003	42.0	113.87	0.6698313129540661
5'-deoxy-5'-methylthioadenosine		2457-80-9	C00170		439176	17509			C11H15N5O3S	297.33502198298083	AFC000639	CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	WUUGFSXJNOTRMR-UHFFFAOYSA-N	C([H])([H])([H])SC([H])([H])C1([H])C([H])(C([H])(C([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])O[H]	0	false	false	11	5	3	null	4	3	null	null	null	22	n1cnc2c(ncn2C3OCCC3)c1	{*O*=1, [H]N([H])[c]=1, *n(*)*=4, [H]O[C]=2, *S*=1}	{ROR=1, RN*(R)R=4, [H]N([H])[C*]=1, [H]O[C]=2, RSR=1}	-1.6224	2.6321817600000004	73.90960000000001	40.16789499999999	25.874105	330	0.4	0.5454545454545454	989.09	0	0	-1.0510000000000002	108.0	141.33	0.47571513397595216
5'-deoxyadenosine		4754-39-6	C05198	HMDB0001983	439182	17319	FDB022781		C10H13N5O3	251.2423195855033	AFC000640	CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	XGYIMTFOTBMPFP-UHFFFAOYSA-N	C([H])([H])([H])C1([H])C([H])(C([H])(C([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])O[H]	0	false	false	10	5	3	null	4	3	null	null	null	20	n1cnc2c(ncn2C3OCCC3)c1	{*O*=1, [H]N([H])[c]=1, *n(*)*=4, [H]O[C]=2}	{ROR=1, RN*(R)R=4, [H]N([H])[C*]=1, [H]O[C]=2}	-1.8874000000000004	3.5622787600000017	61.43970000000001	34.17430899999999	21.407691	248	0.45161290322580644	0.5	783.08	0	0	-1.664	100.0	116.03000000000002	0.46208343329761514
3-phospho-D-glycerate		820-11-1	C00197	HMDB0060180	439183	17794	FDB030460		C3H7O7P	186.05738909013024	AFC000641	C(C(C(=O)O)O)OP(=O)(O)O	OSJPPGNTCRNQQC-UHFFFAOYSA-N	C([H])([H])(C([H])(C(=O)O[H])O[H])OP(=O)(O[H])O[H]	0	false	false	3	0	7	null	0	0	null	null	null	10	null	{*C(=O)O[H]=1, [H]O[C]=1, *OP(=O)(O[H])O[H]=1}	{ROP(=O)(O[H])O[H]=1, RC(=O)O[H]=1, [H]O[C]=1}	-2.0095	4.038090250000001	31.600399999999997	19.19155099999999	18.964449000000002	96	0.0	0.6666666666666666	179.08	0	0	-2.952	48.0	134.10000000000002	0.7209951118635044
D-ribulose-5-phosphate		4151-19-3	C00199	HMDB0000618	439184	17363	FDB022145		C5H11O8P	230.11002882657877	AFC000642	C(C(C(C(=O)CO)O)O)OP(=O)(O)O	FNZLKVNUWIIPSJ-UHFFFAOYSA-N	C([H])([H])(C(=O)C([H])(C([H])(C([H])([H])OP(=O)(O[H])O[H])O[H])O[H])O[H]	0	false	false	5	0	8	null	0	0	null	null	null	13	null	{*C(*)=O=1, [H]O[C]=3, *OP(=O)(O[H])O[H]=1}	{ROP(=O)(O[H])O[H]=1, RC(R)=O=1, [H]O[C]=3}	-2.9929000000000006	8.957450410000003	42.96640000000001	26.18072299999998	23.337277	159	0.0	0.8	394.09	0	0	-4.396	62.0	154.32999999999998	0.6709441251093148
D-xylulose-5-phosphate		4212-65-1	C00231	HMDB0000868	439190	16332	FDB030802		C5H11O8P	230.11002882657877	AFC000643	C(C(C(C(=O)CO)O)O)OP(=O)(O)O	FNZLKVNUWIIPSJ-UHFFFAOYSA-N	C([H])([H])(C(=O)C([H])(C([H])(C([H])([H])OP(=O)(O[H])O[H])O[H])O[H])O[H]	0	false	false	5	0	8	null	0	0	null	null	null	13	null	{*C(*)=O=1, [H]O[C]=3, *OP(=O)(O[H])O[H]=1}	{ROP(=O)(O[H])O[H]=1, RC(R)=O=1, [H]O[C]=3}	-2.9929000000000006	8.957450410000003	42.96640000000001	26.18072299999998	23.337277	159	0.0	0.8	394.09	0	0	-4.396	62.0	154.32999999999998	0.6709441251093148
"1,3-bisphospho-D-glycerate"		38168-82-0	C00236	HMDB0001270	439191	16001	FDB030188		C3H8O10P2	266.03730625666424	AFC000644	C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O	LJQLQCAXBUHEAZ-UHFFFAOYSA-N	C([H])([H])(C([H])(C(=O)OP(=O)(O[H])O[H])O[H])OP(=O)(O[H])O[H]	0	false	false	3	0	10	null	0	0	null	null	null	14	null	{*C(=O)OP(=O)(O[H])O[H]=1, [H]O[C]=1, *OP(=O)(O[H])O[H]=1}	{ROP(=O)(O[H])O[H]=1, [H]O[C]=1, RC(=O)OP(=O)(O[H])O[H]=1}	-2.9773000000000005	8.864315290000002	42.7601	25.894343999999982	30.411656	176	0.0	0.6666666666666666	274.12	0	0	-4.3790000000000004	70.0	190.43999999999997	0.7160494921021473
L-canavanine		543-38-4	C00308	HMDB0002706	439202	609827	FDB000505		C5H12N4O3	176.17399614070155	AFC000645	C(CON=C(N)N)C(C(=O)O)N	FSBIGDSBMBYOPN-UHFFFAOYSA-N	C([H])([H])(C([H])([H])ON=C(N([H])[H])N([H])[H])C([H])(C(=O)O[H])N([H])[H]	0	false	false	5	4	3	null	0	0	null	null	null	11	null	{*ON=C(N(*)*)N(*)*=1, *C(=O)O[H]=1, [H]N([H])[C]=1}	{RC(=O)O[H]=1, RON=C(N(R)R)N(R)R=1, [H]N([H])[C]=1}	-2.0041	4.016416810000001	40.435700000000004	23.60751599999998	14.012483999999995	139	0.0	0.6	397.07	0	0	-3.313	48.0	136.95	0.7777231458372336
glucosamine		3416-24-8	C00329	HMDB0001514	439213	47977	FDB022668		C6H13NO5	179.17137302534613	AFC000646	C(C1C(C(C(C(O1)O)N)O)O)O	MSWZFWKMSRAUBD-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)N([H])[H])O[H])O[H])O[H]	0	false	false	6	1	5	null	1	1	null	null	null	12	O1CCCCC1	{[H]O[C]=3, [H]N([H])[C]=1, *O[C]O[H]=1}	{RO[C]O[H]=1, [H]O[C]=3, [H]N([H])[C]=1}	-2.8030000000000004	7.856809000000002	37.58090000000001	24.338308999999978	15.467690999999995	108	0.24	1.0	493.06	0	0	-1.7640000000000005	58.0	116.17000000000002	0.6487067626374484
D-galacturonic acid		25990-10-7	C00333	HMDB0002545	439215	4153	FDB001160		C6H10O7	194.1396574119716	AFC000647	C1(C(C(OC(C1O)O)C(=O)O)O)O	AEMOLEFTQBMNLQ-UHFFFAOYSA-N	C1([H])(C([H])(C([H])(C(=O)O[H])OC([H])(C1([H])O[H])O[H])O[H])O[H]	0	false	false	6	0	7	null	1	1	null	null	null	13	O1CCCCC1	{*C(=O)O[H]=1, [H]O[C]=3, *O[C]O[H]=1}	{RO[C]O[H]=1, RC(=O)O[H]=1, [H]O[C]=3}	-2.3045000000000004	5.310720250000002	35.8659	22.841929999999984	13.806069999999997	119	0.2608695652173913	0.8333333333333334	373.07	0	0	-1.5400000000000005	64.0	127.45000000000002	0.6568143562916391
(S)-dihydroorotate		5988-19-2	C00337	HMDB0003349	439216	17025	FDB030169		C5H6N2O4	158.11235013124428	AFC000648	C1C(NC(=O)NC1=O)C(=O)O	UFIVEPVSAGBUSI-UHFFFAOYSA-N	C1([H])([H])C([H])(C(=O)O[H])N([H])C(=O)N([H])C1=O	0	false	false	5	2	4	null	1	1	null	null	null	11	N1CNCCC1	{*C(=O)O[H]=1, *C(=O)N(*)C(=O)N(*)*=1}	{RC(=O)O[H]=1, RC(=O)N(R)C(=O)N(R)R=1}	-1.2137999999999998	1.4733104399999994	31.6505	18.208757999999992	10.753241999999998	91	0.35294117647058826	0.4	179.06	0	0	-1.675	52.0	95.5	0.6043050947862162
L-aspartate-semialdehyde		2338-03-6	C00441	HMDB0012249	439235	18051	FDB028891		C4H7NO3	117.10344685367674	AFC000650	C(C=O)C(C(=O)O)N	HOSWPDPVFBCLSY-UHFFFAOYSA-N	C([H])([H])(C([H])=O)C([H])(C(=O)O[H])N([H])[H]	0	false	false	4	1	3	null	0	0	null	null	null	7	null	{*C(=O)O[H]=1, *[C]=O=1, [H]N([H])[C]=1}	{R[C]=O=1, RC(=O)O[H]=1, [H]N([H])[C]=1}	-1.1976999999999998	1.4344852899999994	25.682399999999998	15.213551	8.908448999999997	54	0.0	0.5	140.04	0	0	-3.293	30.0	80.39	0.6868439760413126
alpha-D-ribose-1-phosphate		14075-00-4	C00620	HMDB0001489	439236	16300	FDB022650		C5H11O8P	230.11002882657877	AFC000651	C(C1C(C(C(O1)OP(=O)(O)O)O)O)O	YXJDFQJKERBOBM-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(O1)OP(=O)(O[H])O[H])O[H])O[H])O[H]	0	false	false	5	0	8	null	1	1	null	null	null	14	O1CCCC1	{[H]O[C]=3, *O[C]OP(=O)(O[H])O[H]=1}	{RO[C]OP(=O)(O[H])O[H]=1, [H]O[C]=3}	-2.8129999999999997	7.912968999999999	41.1027	26.18072299999998	24.295277	147	0.2	1.0	443.09	0	0	-3.1120000000000005	70.0	146.49	0.6368600070450563
raffinose		512-69-6	C00492	HMDB0003213	439242	16634	FDB000661		C18H32O16	504.4378291057193	AFC000652	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O	MUPFEKGTMRGPLJ-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(OC([H])([H])C2([H])C([H])(C([H])(C([H])(C([H])(O2)OC3(C([H])([H])O[H])C([H])(C([H])(C([H])(C([H])([H])O[H])O3)O[H])O[H])O[H])O[H])O[H])O1)O[H])O[H])O[H])O[H]	0	false	false	18	0	16	null	3	3	null	null	null	36	O1CCCCC1OCC2OC(OC3OCCC3)CCC2	{*O[C]O[C]O*=1, [H]O[C]=11, *O[C]O*=1}	{RO[C]OR=1, [H]O[C]=11, RO[C]O[C]OR=1}	-6.057400000000001	36.69209476000002	101.1874	65.84937599999995	44.562624	827	0.30303030303030304	1.0	3502.16	0	3	-4.8139999999999965	180.0	268.67999999999995	0.5329165049373629
(-)-(4S)-limonene		5989-54-8	C00521	HMDB0004321	439250	15383	FDB006329	LMPR0102090002	C10H16	136.2344110290926	AFC000653	CC1=CCC(CC1)C(=C)C	XMGQYMWWDOXHJM-UHFFFAOYSA-N	C([H])([H])=C(C([H])([H])[H])C1([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])C1([H])[H]	0	false	false	10	0	0	null	1	1	null	null	null	10	C1=CCCCC1	{[C]=[C]=2}	{[C]=[C]=2}	3.5027	12.26890729	46.4803	28.268687999999976	17.491311999999997	88	0.23076923076923078	0.6	586.0	0	0	3.7289999999999996	46.0	0.0	0.0
L-arabinitol		7643-75-6	C00532	HMDB0001851	439255	18403	FDB022709		C5H12O5	152.14599316769633	AFC000654	C(C(C(C(CO)O)O)O)O	HEBKCHPVOIAQTA-UHFFFAOYSA-N	C([H])([H])(C([H])(C([H])(C([H])(C([H])([H])O[H])O[H])O[H])O[H])O[H]	0	false	false	5	0	5	null	0	0	null	null	null	9	null	{[H]O[C]=5}	{[H]O[C]=5}	-2.4295	5.90247025	32.441100000000006	20.811515999999987	13.118483999999995	79	0.0	1.0	351.05	0	0	-3.224	40.0	101.15	0.6651608823484545
L-cystathionine		56-88-2	C02291	HMDB0000099	439258	17482	FDB001976		C7H14N2O4S	222.2634329484645	AFC000655	C(CSCC(C(=O)O)N)C(C(=O)O)N	ILRYLPWNYFXEMH-UHFFFAOYSA-N	C([H])([H])(C([H])([H])SC([H])([H])C([H])(C(=O)O[H])N([H])[H])C([H])(C(=O)O[H])N([H])[H]	0	false	false	7	2	4	null	0	0	null	null	null	13	null	{*C(=O)O[H]=2, [H]N([H])[C]=2, *S*=1}	{RC(=O)O[H]=2, [H]N([H])[C]=2, RSR=1}	-1.4039999999999997	1.9712159999999992	51.7619	29.963101999999978	18.180897999999996	186	0.0	0.7142857142857143	547.07	0	0	-3.209	58.0	151.94	0.6842066007503941
noradrenaline		51-41-2	C00547	HMDB0000216	439260	18357	FDB016812		C8H11NO3	169.17815345613178	AFC000656	C1=CC(=C(C=C1C(CN)O)O)O	SFLSHLFXELFNJZ-UHFFFAOYSA-N	C1([H])=C(C([H])=C(C(=C1[H])O[H])O[H])C([H])(C([H])([H])N([H])[H])O[H]	0	false	false	8	1	3	null	1	1	null	null	null	12	c1ccccc1	{[H]O[c]=2, [H]O[C]=1, [H]N([H])[C]=1}	{[H]O[C*]=2, [H]O[C]=1, [H]N([H])[C]=1}	-1.1674000000000007	1.3628227600000016	47.8435	24.92072299999998	11.365276999999997	124	0.2608695652173913	0.25	397.04	0	0	-0.7140000000000002	56.0	86.71000000000001	0.5128526844252367
sn-glycerol-1-phosphate		5746-57-6	C00623	HMDB0000126	439276	16221	FDB021800		C3H9O6P	172.0738656702124	AFC000657	C(C(COP(=O)(O)O)O)O	AWUCVROLDVIAJX-UHFFFAOYSA-N	C([H])([H])(C([H])(C([H])([H])OP(=O)(O[H])O[H])O[H])O[H]	0	false	false	3	0	6	null	0	0	null	null	null	9	null	{[H]O[C]=2, *OP(=O)(O[H])O[H]=1}	{ROP(=O)(O[H])O[H]=1, [H]O[C]=2}	-2.2184	4.921298559999999	31.6579	19.72313699999999	20.192863000000003	85	0.0	1.0	234.07	0	0	-3.1090000000000004	42.0	117.03000000000002	0.6803528861661013
2-phospho-D-glycerate		3443-57-0	C00631	HMDB0003391	439278	17835	FDB001407		C3H7O7P	186.05738909013024	AFC000658	C(C(C(=O)O)OP(=O)(O)O)O	GXIURPTVHJPJLF-UHFFFAOYSA-N	C([H])([H])(C([H])(C(=O)O[H])OP(=O)(O[H])O[H])O[H]	0	false	false	3	0	7	null	0	0	null	null	null	10	null	{*C(=O)O[H]=1, [H]O[C]=1, *OP(=O)(O[H])O[H]=1}	{ROP(=O)(O[H])O[H]=1, RC(=O)O[H]=1, [H]O[C]=1}	-2.0095	4.038090250000001	31.600399999999997	19.19155099999999	18.964449000000002	81	0.0	0.6666666666666666	179.08	0	0	-2.9520000000000004	48.0	134.1	0.7209951118635044
alpha-D-mannose 1-phosphate		15978-07-1	C00636	HMDB0006330	439279	18205	FDB031268		C6H13O9P	260.13605115858775	AFC000659	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O	HXXFSFRBOHSIMQ-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O1)OP(=O)(O[H])O[H])O[H])O[H])O[H])O[H]	0	false	false	6	0	9	null	1	1	null	null	null	16	O1CCCCC1	{[H]O[C]=4, *O[C]OP(=O)(O[H])O[H]=1}	{RO[C]OP(=O)(O[H])O[H]=1, [H]O[C]=4}	-3.3237	11.04698169	47.0652	30.076308999999977	26.481690999999998	176	0.20689655172413793	1.0	601.1	0	1	-3.3549999999999995	80.0	166.72	0.6411574833867079
"(2S,6S)-2,6-diaminoheptanedioic acid"		14289-34-0	C00666	HMDB0001370	439283	16026	FDB030951	LMFA01170102	C7H14N2O4	190.1973479554265	AFC000660	C(CC(C(=O)O)N)CC(C(=O)O)N	GMKMEZVLHJARHF-UHFFFAOYSA-N	C([H])([H])(C([H])([H])C([H])(C(=O)O[H])N([H])[H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]	0	false	false	7	2	4	null	0	0	null	null	null	12	null	{*C(=O)O[H]=2, [H]N([H])[C]=2}	{RC(=O)O[H]=2, [H]N([H])[C]=2}	-0.9816000000000007	0.9635385600000014	43.788799999999995	27.06310199999998	15.900897999999994	152	0.0	0.7142857142857143	520.06	0	0	-3.464	54.0	126.63999999999999	0.6661919683181206
alpha-D-glucose 6-phosphate		15209-11-7	C00668	HMDB0001401	439284	17665	FDB021818		C6H13O9P	260.13605115858775	AFC000661	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O	NBSCHQHZLSJFNQ-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H])OP(=O)(O[H])O[H]	0	false	false	6	0	9	null	1	1	null	null	null	16	O1CCCCC1	{[H]O[C]=3, *OP(=O)(O[H])O[H]=1, *O[C]O[H]=1}	{RO[C]O[H]=1, ROP(=O)(O[H])O[H]=1, [H]O[C]=3}	-3.3237	11.04698169	47.0652	30.076308999999977	26.481691000000005	196	0.20689655172413793	1.0	601.1	0	1	-3.3549999999999995	80.0	166.72	0.6411574833867079
dTDP-4-dehydro-6-deoxy-alpha-D-glucose			C11907	HMDB0001399	439292	16128	FDB022601		C16H24N2O15P2	546.3143560280397	AFC000662	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O	PSXWNITXWWECNY-UHFFFAOYSA-N	C([H])([H])([H])C1=C([H])N(C2([H])C([H])([H])C([H])(C([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC3([H])C([H])(C([H])(C(=O)C([H])(C([H])([H])[H])O3)O[H])O[H])O2)O[H])C(=O)N([H])C1=O	0	false	false	16	2	15	null	3	3	null	null	null	37	O(POCC1OC(N2C=CCNC2)CC1)POC3OCCCC3	{*C(*)=O=1, *O*=1, *O[C]OP(=O)(OP(=O)(O*)O[H])O[H]=1, *n(*)*=2, [c]=O=2, [H]O[C]=3}	{[C*]=O=2, ROR=1, RN*(R)R=2, RO[C]OP(=O)(OP(=O)(OR)O[H])O[H]=1, RC(R)=O=1, [H]O[C]=3}	-3.470099999999997	12.041594009999978	107.9481	65.65303199999995	58.206967999999975	1024	0.3898305084745763	0.6875	2531.19	0	3	-4.5040000000000004	188.0	267.53999999999996	0.48994150194660346
dopaquinone		25520-73-4	C00822	HMDB0001229	439316	16852	FDB022501		C9H9NO4	195.17241277283762	AFC000663	C1=CC(=O)C(=O)C=C1CC(C(=O)O)N	AHMIDUVKSGCHAU-UHFFFAOYSA-N	C1([H])=C([H])C(=O)C(=O)C([H])=C1C([H])([H])C([H])(C(=O)O[H])N([H])[H]	0	false	false	9	1	4	null	1	1	null	null	null	14	C=1C=CCCC1	{*C(=O)O[H]=1, [H]N([H])[C]=1, O=C1[C]=[C][C]=[C]C1=O=1}	{RC(=O)O[H]=1, [H]N([H])[C]=1, O=C1[C]=[C][C]=[C]C1=O=1}	-0.5065	0.25654224999999997	49.703	26.149136999999985	12.052862999999997	170	0.2608695652173913	0.2222222222222222	347.05	0	0	-3.674	66.0	97.46	0.49965866287548544
L-arogenic acid		53078-86-7	C00826		439319	17530			C10H13NO5	227.21431661249812	AFC000664	C1=CC(C=CC1O)(CC(C(=O)O)N)C(=O)O	MIEILDYWGANZNH-UHFFFAOYSA-N	C1([H])=C([H])C(C([H])=C([H])C1([H])O[H])(C([H])([H])C([H])(C(=O)O[H])N([H])[H])C(=O)O[H]	0	false	false	10	1	5	null	1	1	null	null	null	16	C1=CCC=CC1	{[C]=[C]=2, *C(=O)O[H]=2, [H]O[C]=1, [H]N([H])[C]=1}	{[C]=[C]=2, RC(=O)O[H]=2, [H]O[C]=1, [H]N([H])[C]=1}	-0.9036000000000007	0.8164929600000014	56.03340000000001	31.37830899999998	15.467690999999995	188	0.20689655172413793	0.4	601.06	0	0	-2.97	78.0	120.85000000000001	0.5321927688147232
alpha-maltose		9005-84-9	C00897	HMDB0037138	439341	18167	FDB016133		C12H22O11	342.2969815488865	AFC000665	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O	GUBGYTABKSRVRQ-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O1)OC2([H])C([H])(C([H])([H])O[H])OC([H])(C([H])(C2([H])O[H])O[H])O[H])O[H])O[H])O[H])O[H]	0	false	false	12	0	11	null	2	2	null	null	null	24	O1CCCC(OC2OCCCC2)C1	{[H]O[C]=7, *O[C]O*=1, *O[C]O[H]=1}	{RO[C]O[H]=1, RO[C]OR=1, [H]O[C]=7}	-4.2603	18.15015609	68.3367	44.611445999999965	29.798554000000006	372	0.28888888888888886	1.0	1610.11	0	2	-3.662999999999998	118.0	189.52999999999997	0.5539930398378793
3-dehydroquinate		10534-44-8	C00944	HMDB0012710	439351	17947	FDB029168		C7H10O6	190.1509883811902	AFC000666	C1C(C(C(=O)CC1(C(=O)O)O)O)O	WVMWZWGZRAXUBK-UHFFFAOYSA-N	C1([H])([H])C([H])(C([H])(C(=O)C([H])([H])C1(C(=O)O[H])O[H])O[H])O[H]	0	false	false	7	0	6	null	1	1	null	null	null	13	C1CCCCC1	{*C(*)=O=1, *C(=O)O[H]=1, [H]O[C]=3}	{RC(R)=O=1, RC(=O)O[H]=1, [H]O[C]=3}	-2.173	4.721929	38.7725	23.799929999999982	12.848069999999996	119	0.2608695652173913	0.7142857142857143	373.06	0	0	-2.1220000000000003	66.0	115.06000000000002	0.6054268321561551
beta-D-galactose		7296-64-2	C00962	HMDB0003449	439353	27667	FDB021788		C6H12O6	180.15613399205375	AFC000667	C(C1C(C(C(C(O1)O)O)O)O)O	WQZGKKKJIJFFOK-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H])O[H]	0	false	false	6	0	6	null	1	1	null	null	null	12	O1CCCCC1	{[H]O[C]=4, *O[C]O[H]=1}	{RO[C]O[H]=1, [H]O[C]=4}	-2.5134000000000003	6.317179560000001	35.9234	23.37351599999998	15.034483999999996	108	0.25	1.0	444.06	0	0	-1.6970000000000007	58.0	110.38000000000001	0.6130063482769043
alpha-D-galactose		3646-73-9	C00984	HMDB0000143	439357	28061	FDB021787		C6H12O6	180.15613399205375	AFC000668	C(C1C(C(C(C(O1)O)O)O)O)O	WQZGKKKJIJFFOK-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H])O[H]	0	false	false	6	0	6	null	1	1	null	null	null	12	O1CCCCC1	{[H]O[C]=4, *O[C]O[H]=1}	{RO[C]O[H]=1, [H]O[C]=4}	-2.5134000000000003	6.317179560000001	35.9234	23.37351599999998	15.034483999999996	108	0.25	1.0	444.06	0	0	-1.6970000000000007	58.0	110.38000000000001	0.6130063482769043
L-gulonolactone		1128-23-0	C01040	HMDB0003466	439373	17587	FDB023179		C6H10O6	178.1402524844022	AFC000669	C(C(C1C(C(C(=O)O1)O)O)O)O	SXZYCXMUPBBULW-UHFFFAOYSA-N	C([H])([H])(C([H])(C1([H])C([H])(C([H])(C(=O)O1)O[H])O[H])O[H])O[H]	0	false	false	6	0	6	null	1	1	null	null	null	12	O1CCCC1	{*OC(*)=O=1, [H]O[C]=4}	{[H]O[C]=4, ROC(R)=O=1}	-2.1223000000000005	4.504157290000002	34.8539	22.039929999999984	13.806069999999997	109	0.22727272727272727	0.8333333333333334	352.06	0	0	-1.6320000000000003	58.0	107.22000000000001	0.6021980463234645
O-acetyl-L-homoserine		7540-67-2	C01077	HMDB0029423	439389	16288	FDB000523		C6H11NO4	161.15608659012517	AFC000670	CC(=O)OCCC(C(=O)O)N	FCXZBWSIAGGPCB-UHFFFAOYSA-N	C([H])([H])([H])C(=O)OC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]	0	false	false	6	1	4	null	0	0	null	null	null	10	null	{*OC(*)=O=1, *C(=O)O[H]=1, [H]N([H])[C]=1}	{RC(=O)O[H]=1, [H]N([H])[C]=1, ROC(R)=O=1}	-1.0473000000000008	1.0968372900000016	36.133	22.202722999999985	15.197276999999996	111	0.0	0.6666666666666666	331.05	0	0	-2.858	44.0	89.62	0.556408166213514
L-histidinol-phosphate		25679-93-0	C01100		439398	16996	FDB030967		C6H12N3O4P	221.1511953880229	AFC000671	C1=C(NC=N1)CC(COP(=O)(O)O)N	CWNDERHTHMWBSI-UHFFFAOYSA-N	C([H])([H])(C([H])(C([H])([H])OP(=O)(O[H])O[H])N([H])[H])C1=C([H])N=C([H])N1[H]	0	false	false	6	3	4	null	1	1	null	null	null	14	n1cc[nH]c1	{*n(*)*=2, [H]N([H])[C]=1, *OP(=O)(O[H])O[H]=1}	{RN*(R)R=2, ROP(=O)(O[H])O[H]=1, [H]N([H])[C]=1}	-3.146	9.897316	50.643000000000015	28.699515999999985	24.792483999999998	179	0.19230769230769232	0.5	494.08	0	0	-2.649	66.0	126.98	0.5744231705037481
