Compound	IUPAC	Alternative_names	CAS_ID	KEGG_ID	HMDB	PubChem	ChEBI_ID	FooDB	LipidMaps	Molecular_formula	Molecular_weight	Source_databases	AFC_ID	canonical_SMILES
nicotinate mononucleotide		nicotinate D-ribonucleotide	321-02-8	C01185	HMDB0001132	121992	15763	FDB022444	no entry found			CuCyc	AFC000528	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O
soyasaponin I			51330-27-9	C08983	HMDB0034649	122097	9211	FDB013173	no entry found			CuCyc	AFC000529	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)C)C(=O)O)O)O)CO)O)O)O)O)O
beta-D-glucose 1-phosphate			55607-88-0	C00663	no entry found	122250	16218	FDB031290	no entry found			CuCyc	AFC000530	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
butanoyl-CoA		butyryl-CoA	2140-48-9	C00136	HMDB0001088	122283	15517	FDB022419	LMFA07050292			CuCyc	AFC000531	CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
D-myo-inositol 1,2-cyclic phosphate			43119-57-9	C04299	HMDB0001125	122331	18426	FDB022438	no entry found			CuCyc	AFC000532	C1(C(C(C2C(C1O)OP(=O)(O2)O)O)O)O
trehalose-6-phosphate			4484-88-2	C00689	HMDB0001124	122336	18283	FDB022437	no entry found			CuCyc	AFC000533	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O
D-erythrose-4-phosphate			585-18-2	C00279	HMDB0001321	122357	48153	FDB001614	no entry found			CuCyc	AFC000534	C(C(C(C=O)O)O)OP(=O)(O)O
dihydrokaempferol		aromadendrin	480-20-6	C00974	HMDB0030847	122850	15401	FDB012431	no entry found			CuCyc	AFC000535	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
phenol-d6			13127-88-3	no entry found	no entry found	123295	no entry found	no entry found	no entry found			"PMID_21384347;Kim et al 2009"	AFC000536	C1=CC=C(C=C1)O
methyl ethyl disulfide			20333-39-5	no entry found	HMDB0032912	123388	no entry found	FDB010895	no entry found	C3H8S2	108.23	Liu et al. 2018	AFC000537	CCSSC
delta-aminolevulinic acid hydrochloride		5-aminolevulinic acid hydrochloride	02/09/5451	C00430	HMDB0001149	123608	132969	FDB022452	LMFA01100055			PMID_31934503	AFC000538	C(CC(=O)O)C(=O)CN.Cl
CDP-ethanolamine			3036-18-8	C00570	HMDB0001564	123727	16732	FDB022691	no entry found			CuCyc	AFC000539	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCCN)O)O
N,N-dimethylarginine		"dimethylarginine, asymmetric;ADMA"	30315-93-6	C03626	HMDB0001539	123831	17929	FDB000508	no entry found	C8H18N4O2	202.25	PMID_32538082	AFC000540	CN(C)C(=NCCCC(C(=O)O)N)N
alpha-D-galactose 1-phosphate			2255-14-3	C00446	HMDB0000645	123912	17973	FDB031262	no entry found			CuCyc	AFC000541	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
L-gamma-glutamylcysteine			636-58-8	C00669	HMDB0001049	123938	17515	FDB021724	no entry found			CuCyc	AFC000542	C(CC(=O)NC(CS)C(=O)O)C(C(=O)O)N
coenzyme F420		factor gamma-F420-2	64885-97-8	C00876	no entry found	123996	16848	no entry found	no entry found			CuCyc	AFC000543	CC(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)OP(=O)(O)OCC(C(C(CN1C2=CC(=O)C=CC2=CC3=C1NC(=O)NC3=O)O)O)O
glutathione			70-18-8	C00051	HMDB0000125	124886	16856	FDB001498	no entry found			CuCyc	AFC000544	C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
beta-D-xylopyranose			2460-44-8	no entry found	no entry found	125409	28161	FDB031294	no entry found			CuCyc	AFC000545	C1C(C(C(C(O1)O)O)O)O
alanine glutamate		L-Ala-L-Glu	13187-90-1	C20958	HMDB0028686	128841	61565	no entry found	no entry found			CuCyc	AFC000546	CC(C(=O)NC(CCC(=O)O)C(=O)O)N
delphinidin		3,3',4',5,5',7-hexahydroxyflavylium	13270-61-6	C05908	HMDB0130399	128853	28436	FDB002613	LMPK12010001			"CuCyc;PMID_31263475"	AFC000547	C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O
cyanidin			13306-05-3	C05905	HMDB0125127	128861	27843	FDB002602	LMPK12010002			PMID_31263475	AFC000548	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O
glutamate-1-semialdehyde		4-amino-5-oxopentanoate	68462-55-5	C03741	no entry found	129297	15757	FDB030890	no entry found			CuCyc	AFC000549	C(CC(=O)O)C(C=O)N
D-mannitol 1-phosphate			15806-48-1	C00644	HMDB0001530	130418	16298	FDB022673	no entry found			CuCyc	AFC000550	C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O
xylose		D-xylose	"50855-32-8;58-86-6"	C00181	HMDB0000098	135191	53455	FDB001136	no entry found			PMID_32679913	AFC000551	C1C(C(C(C(O1)O)O)O)O
4-ethyl-2-hexynal			71932-97-3	no entry found	no entry found	144524	no entry found	no entry found	no entry found			Condursoa et al. 2012	AFC000552	CCC(CC)C#CC=O
nitric oxide			10102-43-9	C00533	HMDB0003378	145068	16480	FDB021825	no entry found	NO	30.006	CuCyc	AFC000553	[N]=O
S-methyl-L-methionine			6708-35-6	C03172	HMDB0038670	145692	17728	FDB018070	no entry found			CuCyc	AFC000554	C[S+](C)CCC(C(=O)O)N
deoxyuridine-5'-diphosphate		dUDP	4208-67-7	C01346	HMDB0001000	145729	28850	FDB022361	no entry found			CuCyc	AFC000555	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O
L-proline			147-85-3	C00148	HMDB0000162	145742	17203	FDB000570	no entry found			"CuCyc;PMID_31934503"	AFC000556	C1CC(NC1)C(=O)O
3',4',5,6-tetrahydroxy-3,7-dimethoxyflavone		3,7-di-methylquercetagetin	59171-23-2	C04581	no entry found	148856	27767	no entry found	LMPK12112991	C17H14O8	346.3	CuCyc	AFC000557	COC1=C(C(=C2C(=C1)OC(=C(C2=O)OC)C3=CC(=C(C=C3)O)O)O)O
deoxycytidine diphosphate		dCDP	800-73-7	C00705	HMDB0001245	150855	28846	FDB022510	no entry found			CuCyc	AFC000558	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O
O-phospho-L-homoserine		o-phosphohomoserine	4210-66-6	C01102	HMDB0003484	151187	15961	FDB023182	no entry found			CuCyc	AFC000559	C(COP(=O)(O)O)C(C(=O)O)N
4-pyridoxolactone			4753-19-9	C00971	HMDB0003454	151228	16871	FDB023177	no entry found			CuCyc	AFC000560	CC1=NC=C2COC(=O)C2=C1O
2,3-dihydroxybenzoylserine			7724-78-9	C04204	no entry found	151483	17455	no entry found	no entry found			CuCyc	AFC000561	C1=CC(=C(C(=C1)O)O)C(=O)NC(CO)C(=O)O
beta-(pyrazole-1-yl)-L-alanine		L-beta-(pyrazol-1-yl)-alanine	10162-27-3	C01162	HMDB0034267	151491	16357	FDB012598	no entry found			"phytochem.nal.usda;PMID_7608200"	AFC000562	C1=CN(N=C1)CC(C(=O)O)N
histidinal			23784-15-8	C01929	HMDB0012234	152657	27676	FDB028877	no entry found	C6H9N3O	139.16	CuCyc	AFC000563	C1=C(NC=N1)CC(C=O)N
4-oxononanal		4-oxo-nonan-1-al	74327-29-0	no entry found	HMDB0034716	156288	no entry found	FDB013252	no entry found			"phytochem.nal.usda;COCONUT"	AFC000564	CCCCCC(=O)CCC=O
oxidanyl		hydroxyl radical	3352-57-6	C16844	HMDB0001039	157350	29191	FDB022386	no entry found			CuCyc	AFC000565	[OH]
salidroside		"rhodioloside;tyrosol glucoside"	10338-51-9	C06046	no entry found	159278	9009	FDB011795	no entry found			CuCyc	AFC000566	C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O
adenosine 3',5'-bisphosphate			1053-73-2	C00054	HMDB0000061	159296	17985	FDB030650	no entry found			CuCyc	AFC000567	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N
bryonolic acid		bryononic acid	24480-45-3	no entry found	HMDB0036757	159970	65846	FDB015696	LMPR0106150028			"phytochem.nal.usda;PMID_8463793;Cho et al 1993;COCONUT"	AFC000568	CC1(C2CCC3=C(C2(CCC1O)C)CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
succinate		butanedioate	56-14-4	C00042	HMDB0000254	160419	30031	FDB031187	no entry found			"CuCyc;PMID_30451416"	AFC000569	C(CC(=O)[O-])C(=O)[O-]
5-androstene-3,17-dione			571-36-8	C20252	no entry found	160531	83865	no entry found	no entry found			CuCyc	AFC000570	CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(=O)C4)C
L-saccharopine			997-68-2	C00449	HMDB0000279	160556	16927	FDB000461	no entry found			CuCyc	AFC000571	C(CCNC(CCC(=O)O)C(=O)O)CC(C(=O)O)N
L-allysine		(S)-2-amino-6-oxohexanoate	09/12/6665	C04076	HMDB0001263	160603	17917	FDB030156	no entry found			CuCyc	AFC000572	C(CC=O)CC(C(=O)O)N
orotidylic acid		orotidine-5'-phosphate	2149-82-8	C01103	HMDB0000218	160617	15842	FDB012321	no entry found			CuCyc	AFC000573	C1=C(N(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)O
3-deoxy-D-arabino-heptulosonate-7-phosphate			2627-73-8	C04691	no entry found	160647	18150	FDB030419	no entry found			CuCyc	AFC000574	C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole		saicar	3031-95-6	C04823	HMDB0000797	160666	18319	FDB022251	no entry found			CuCyc	AFC000575	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)NC(CC(=O)O)C(=O)O
1D-myo-inositol 5-phosphate		1D-myo-inositol (2) monophosphate	7336-80-3	C06155	no entry found	160886	37493	no entry found	no entry found			CuCyc	AFC000576	C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O
5-phospho-ribosyl-glycineamide		"glycinamide ribonucleotide;glycineamideribotide"	10074-18-7	C03838	HMDB0002022	160913	18349	FDB022801	no entry found			CuCyc	AFC000577	C(C1C(C(C(O1)NC(=O)CN)O)O)OP(=O)(O)O
D-ribosylnicotinate			17720-18-2	C05841	HMDB0006809	161233	58527	FDB031293	no entry found			CuCyc	AFC000578	C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)[O-]
leucodopachrome			18766-67-1	C05604	HMDB0004067	161255	60872	FDB023297	no entry found			CuCyc	AFC000579	C1C(NC2=CC(=C(C=C21)O)O)C(=O)O
secologanin			19351-63-4	C01852	no entry found	161276	18002	FDB031168	LMPR0102070002			CuCyc	AFC000580	COC(=O)C1=COC(C(C1CC=O)C=C)OC2C(C(C(C(O2)CO)O)O)O
strictosidine		isovincoside	20824-29-7	C03470	no entry found	161336	17559	FDB031186	no entry found	C27H34N2O9	530.6	CuCyc	AFC000581	COC(=O)C1=COC(C(C1CC2C3=C(CCN2)C4=CC=CC=C4N3)C=C)OC5C(C(C(C(O5)CO)O)O)O
pyropheophorbide a			24533-72-0	C18064	HMDB0031150	161456	48398	FDB003163	no entry found			CuCyc	AFC000582	CCC1=C(C2=NC1=CC3=C(C4=C(CC(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)O)C)C
dihydromyricetin		ampelopsin	27200-12-0	C02906	no entry found	161557	28429	FDB030823	no entry found			CuCyc	AFC000583	C1=C(C=C(C(=C1O)O)O)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O
aldehydo-D-mannose			3458-28-4	no entry found	HMDB0062473	161658	37675	no entry found	no entry found			CuCyc	AFC000584	C(C(C(C(C(C=O)O)O)O)O)O
isovitexin		apigenin 6-C-glucoside	38953-85-4	C01714	no entry found	162350	18330	FDB000614	LMPK12110338			"Ogbuji et al. 2012;Abu-Reidah et al 2013;PMID_32538082"	AFC000585	C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)O)O)O
tetradecenoic acid			26444-03-1	no entry found	no entry found	162384	36004	FDB005847	no entry found			PMID_31178462	AFC000586	CCCCCCCCCCCC=CC(=O)O
D-pinitol		"D-ononitol;3-O-methyl-D-chiro-inositol;methylinositol"	484-68-4	C03844	HMDB0034219	164619	28548	FDB012524	no entry found			CuCyc	AFC000587	COC1C(C(C(C(C1O)O)O)O)O
thymidine-5'-diphosphate		"deoxy-TDP;dTDP;thymidine 5'-pyrophosphate"	491-97-4	C00363	HMDB0001274	164628	18075	FDB022528	no entry found			CuCyc	AFC000588	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O
D-sedoheptulose-1,7-bisphosphate			815-91-8	C00447	HMDB0060274	164735	17969	FDB030798	no entry found			CuCyc	AFC000589	C(C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O
carboxyaminoimidazole ribotide		5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	6001-14-5	C04751	HMDB0006273	165388	28413	FDB023871	no entry found			CuCyc	AFC000590	C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)O
methylacrylyl-CoA			6008-91-9	C03460	HMDB0001011	165390	27754	FDB030999	LMFA07050350			CuCyc	AFC000591	CC(=C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
isovaleryl-CoA			6244-91-3	C02939	HMDB0001113	165435	15487	FDB022430	LMFA07050336			CuCyc	AFC000592	CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
nicotinic acid adenine dinucleotide		nicotinate adenine dinucleotide	6450-77-7	C00857	HMDB0001179	165491	18304	FDB022469	no entry found			CuCyc	AFC000593	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)O
4,4-dimethylzymosterol		14-demethyllanosterol	04/02/7448	C05108	HMDB0001286	165609	18364	FDB030261	LMST01010176			CuCyc	AFC000594	CC(CCC=C(C)C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C
4,4-dimethyl-5-alpha-cholesta-8,14-dien-3-beta-ol			19456-83-8	no entry found	HMDB0062381	167817	78904	no entry found	LMST01010277			CuCyc	AFC000595	CC(C)CCCC(C)C1CC=C2C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C
6,7-dimethyl-8-(1-D-ribityl)lumazine			5118-16-1	C04332	HMDB0003826	168989	17601	FDB023230	no entry found			CuCyc	AFC000596	CC1=C(N(C2=NC(=O)NC(=O)C2=N1)CC(C(C(CO)O)O)O)C
5-hydroxyhexanoic acid			44843-89-2	no entry found	HMDB0000525	170748	131434	FDB022093	LMFA01050014			PMID_31934503	AFC000597	CC(CCCC(=O)O)O
biotin			58-85-5	C00120	HMDB0000030	171548	15956	FDB014510	no entry found			CuCyc	AFC000598	C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2
vestitone		"7-hydroxy-3-(2-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one;2',7-dihydroxy-4'-methoxyisoflavanone"	57462-46-1	C00786	HMDB0031620	171769	16786	FDB008258	LMPK12050462			CuCyc	AFC000599	COC1=CC(=C(C=C1)C2COC3=C(C2=O)C=CC(=C3)O)O
UDP-N-acetylglucosamine-enolpyruvate			70222-94-5	C04631	no entry found	172502	68507	no entry found	no entry found			CuCyc	AFC000600	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)OC(=C)C(=O)O
campesterol			474-62-4	C01789	HMDB0002869	173183	28623	FDB012521	LMST01030097			"CuCyc;phytochem.nal.usda;Costa de Conto et al 2011;COCONUT"	AFC000601	CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
5-methylthioribulose-1-phosphate		S-methyl-5-thio-D-ribulose 1-phosphate	86316-83-8	C04582	HMDB0001299	174549	28096	FDB022541	no entry found			CuCyc	AFC000602	CSCC(C(C(=O)COP(=O)(O)O)O)O
sulfamate			15853-39-1	C01614	HMDB0034830	177700	9330	FDB013393	no entry found	H2NO3S-	96.09	CuCyc	AFC000603	NS(=O)(=O)[O-]
isolariciresinol 9'-beta-D-glucopyranoside			63358-12-3	no entry found	HMDB0038927	180275	no entry found	FDB018394	no entry found			Abu-Reidah et al 2013	AFC000604	COC1=C(C=C2C(C(C(CC2=C1)CO)C3(C(C(C(C(O3)CO)O)O)O)OC)C4=CC(=C(C=C4)O)OC)O
nicotine iminium		nicotine-delta1'5'-iminium ion	42459-13-2	no entry found	HMDB0001010	181139	no entry found	FDB022368	no entry found			CuCyc	AFC000605	C[N+]1=CCCC1C2=CN=CC=C2
alpha-D-mannose			7296-15-3	C00936	HMDB0000169	185698	28729	FDB031267	no entry found			CuCyc	AFC000606	C(C1C(C(C(C(O1)O)O)O)O)O
isovitexin 2''-O-glucoside		meloside A	60767-80-8	C04199	no entry found	185995	75432	FDB000615	LMPK12110217			Ogbuji et al. 2012	AFC000607	C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4C(C(C(C(O4)CO)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)O
D-arabinose 5-phosphate			13137-52-5	C01112	HMDB0011734	188324	16241	FDB028414	no entry found			CuCyc	AFC000608	C(C(C(C(C=O)O)O)O)OP(=O)(O)O
D-glucosamine 1-phosphate			2152-75-2	C06156	HMDB0001109	188960	27625	FDB022429	no entry found			CuCyc	AFC000609	C(C1C(C(C(C(O1)OP(=O)(O)O)N)O)O)O
2'-deoxyadenosine-5'-diphosphate		dADP	08/06/2793	C00206	HMDB0001508	188966	16174	FDB022662	no entry found			CuCyc	AFC000610	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O
isochorismic acid		isochorismate	22642-82-6	C00885	no entry found	189062	17582	FDB030944	no entry found			CuCyc	AFC000611	C=C(C(=O)O)OC1C=CC=C(C1O)C(=O)O
3,7,3'-tri-methylquercetagetin		chrysosplenol C	23370-16-3	C10031	no entry found	189065	3690	FDB005990	LMPK12112982			CuCyc	AFC000612	COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)O)O)OC)O
S-formylglutathione			50409-81-9	C01031	HMDB0001550	189122	16225	FDB022685	no entry found			CuCyc	AFC000613	C(CC(=O)NC(CSC=O)C(=O)NCC(=O)O)C(C(=O)O)N
N-acetyl-L-glutamate 5-semialdehyde			13074-21-0	C01250	HMDB0006488	192878	16319	FDB023938	no entry found			CuCyc	AFC000614	CC(=O)NC(CCC=O)C(=O)O
(2S)-2-amino-5-oxopentanoic acid		L-glutamate gamma-semialdehyde	496-92-4	C01165	no entry found	193305	17232	no entry found	no entry found			CuCyc	AFC000615	C(CC(C(=O)O)N)C=O
L-glutamate-5-phosphate		gamma-glutamyl phosphate	13254-53-0	C03287	HMDB0001228	193475	17232	FDB022500	no entry found			CuCyc	AFC000616	C(CC(=O)OP(=O)(O)O)C(C(=O)O)N
5-amino-6-(D-ribitylamino)uracil			17014-74-3	C04732	HMDB0011106	193516	15934	FDB027889	no entry found			CuCyc	AFC000617	C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N
4alpha-methyl-5alpha-ergosta-8,24-dien-3beta-ol		4alpha-methylfecosterol	17757-07-2	C15776	HMDB0006845	193524	80094	FDB012688	LMST01031019			CuCyc	AFC000618	CC1C2CCC3=C(C2(CCC1O)C)CCC4(C3CCC4C(C)CCC(=C)C(C)C)C
24-methyldesmosterol			20780-41-0	no entry found	no entry found	193567	no entry found	FDB030373	LMST01030110			CuCyc	AFC000619	CC(CCC(=C(C)C)C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C
O-ureidohomoserine			51767-67-0	no entry found	HMDB0012271	193861	no entry found	FDB028907	no entry found			CuCyc	AFC000620	C(CONC(=O)N)C(C(=O)O)N
thermospermine		1,12-diamino-4,8-diazadodecane	70862-11-2	C19669	no entry found	194365	59564	no entry found	no entry found			CuCyc	AFC000621	C(CCNCCCNCCCN)CN
sirohydrochlorin		siroheme	65207-12-7	C05778	no entry found	196427	18023	no entry found	no entry found	C42H46N4O16	862.8	CuCyc	AFC000622	CC1(C(C2=NC1=CC3=NC(=CC4=C(C(=C(N4)C=C5C(=C(C(=C2)N5)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)C(C3CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O
beta-sitosterol		sitosterol	83-46-5	C01753	HMDB0000852	222284	27693	FDB012362	LMST01040129	C29H50O	414.7	"CuCyc;phytochem.nal.usda;Costa de Conto et al 2011"	AFC000623	CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
(2S)-2-hydroxybutanedioic acid		"(S)-malic acid;L-malic acid"	97-67-6	C00149	HMDB0000156	222656	30797	FDB012047	no entry found			"CuCyc;PMID_16881688;PMID_21384347;PMID_31934503"	AFC000624	C(C(C(=O)O)O)C(=O)O
(R,R)-2,3-butanediol			24347-58-8	C03044	HMDB0033007	225936	16982	FDB010997	no entry found			"PMID_21384347;Kim et al 2009"	AFC000625	CC(C(C)O)O
3-octanone	octane-3-one	"3-oxooctane;ethyl pentyl ketone;methylheptanone"	106-68-3	C17145	HMDB0031295	246728	80946	FDB005050	LMFA12000055	C8H16O	128.21	PMID_17002453	AFC000626	CCCCCC(=O)CC
lanosterol			79-63-0	C01724	HMDB0001251	246983	16521	FDB013802	LMST01010017			CuCyc	AFC000627	CC(CCC=C(C)C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C
5-hydroxyisourate			6960-30-1	C11821	HMDB0030097	250388	18072	FDB001616	no entry found			CuCyc	AFC000628	C12=NC(=O)NC1(C(=O)NC(=O)N2)O
pheophorbide a			15664-29-6	C18021	no entry found	253193	38257	FDB031104	no entry found			CuCyc	AFC000629	CCC1=C(C2=NC1=CC3=C(C4=C(C(C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)OC)O)C)C
lupeol			545-47-1	C08628	no entry found	259846	6570	FDB013641	LMPR0106130001			CuCyc	AFC000630	CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C
(+)-lariciresinol			27003-73-2	C10646	no entry found	332427	67246	FDB012578	no entry found			"CuCyc;COCONUT"	AFC000631	COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)O)OC)O
3-(3,4-dihydroxyphenyl)propanoic acid		dihydrocaffeic acid	1078-61-1	C10447	HMDB0000423	348154	48400	FDB008857	no entry found	C9H10O4	182.17	PMID_32538082	AFC000632	C1=CC(=C(C=C1CCC(=O)O)O)O
indole-3-acetonitrile		3-indoleacetonitrile	771-51-7	C02938	HMDB0006524	351795	17566	FDB001365	no entry found			CuCyc	AFC000633	C1=CC=C2C(=C1)C(=CN2)CC#N
loganin		"loganoside;7-hydroxy-6-desoxyverbenalin"	18524-94-2	C01433	no entry found	87691	15771	FDB030984	LMPR0102070001			CuCyc	AFC000634	CC1C(CC2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O)O
NADH		"1,4-dihydronicotinamide adenine dinucleotide;reduced coenzyme I"	58-68-4	C00004	HMDB0001487	439153	16908	FDB022649	no entry found	C21H29N7O14P2	665.4	CuCyc	AFC000635	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
S-adenosyl-L-homocysteine			75899-14-8	C00021	HMDB0000939	439155	16680	FDB022327	no entry found			CuCyc	AFC000636	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N
sn-glycerol-3-phosphate			17989-41-2	C00093	HMDB0000126	439162	15978	FDB021800	no entry found			CuCyc	AFC000637	C(C(COP(=O)(O)O)O)O
D-glyceraldehyde 3-phosphate			142-10-9	C00118	HMDB0001112	439168	29052	FDB001619	no entry found			"CuCyc;PMID_31263475"	AFC000638	C(C(C=O)O)OP(=O)(O)O
5'-deoxy-5'-methylthioadenosine		"S-methyl-5'-thioadenosine;5'-methylthioadenosine;vitamin L2"	2457-80-9	C00170	no entry found	439176	17509	no entry found	no entry found			CuCyc	AFC000639	CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
5'-deoxyadenosine			4754-39-6	C05198	HMDB0001983	439182	17319	FDB022781	no entry found			CuCyc	AFC000640	CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
3-phospho-D-glycerate			820-11-1	C00197	HMDB0060180	439183	17794	FDB030460	no entry found			CuCyc	AFC000641	C(C(C(=O)O)O)OP(=O)(O)O
D-ribulose-5-phosphate			4151-19-3	C00199	HMDB0000618	439184	17363	FDB022145	no entry found			CuCyc	AFC000642	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
D-xylulose-5-phosphate			4212-65-1	C00231	HMDB0000868	439190	16332	FDB030802	no entry found			CuCyc	AFC000643	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
1,3-bisphospho-D-glycerate		3-phospho-D-glyceroyl dihydrogen phosphate	38168-82-0	C00236	HMDB0001270	439191	16001	FDB030188	no entry found			CuCyc	AFC000644	C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O
L-canavanine			543-38-4	C00308	HMDB0002706	439202	609827	FDB000505	no entry found			CuCyc	AFC000645	C(CON=C(N)N)C(C(=O)O)N
glucosamine			3416-24-8	C00329	HMDB0001514	439213	47977	FDB022668	no entry found			PMID_31934503	AFC000646	C(C1C(C(C(C(O1)O)N)O)O)O
D-galacturonic acid		D-galacturonate	25990-10-7	C00333	HMDB0002545	439215	4153	FDB001160	no entry found			"PMID_31263475;PMID_31934503"	AFC000647	C1(C(C(OC(C1O)O)C(=O)O)O)O
(S)-dihydroorotate			5988-19-2	C00337	HMDB0003349	439216	17025	FDB030169	no entry found			CuCyc	AFC000648	C1C(NC(=O)NC1=O)C(=O)O
L-lactaldehyde		alpha-hydroxypropionaldehyde	598-35-6	C00424	HMDB0003052	439231	18041	FDB030968	no entry found	C3H6O2	74.08	CuCyc	AFC000649	CC(C=O)O
L-aspartate-semialdehyde		(S)-2-amino-4-oxobutanoic acid	06/03/2338	C00441	HMDB0012249	439235	18051	FDB028891	no entry found			CuCyc	AFC000650	C(C=O)C(C(=O)O)N
